experiment_index,simSeconds,simInsts,avg_big_l1i_missrate,avg_big_l1d_missrate,avg_big_l2_missrate,avg_little_l1i_missrate,avg_little_l1d_missrate,avg_little_l2_missrate,avg_l3_missrate,replacement_policy,prefetcher_type,l1_cache_sample_seed,l2_cache_sample_seed,l3_cache_sample_seed,big_core_width,big_core_rob_size,big_core_num_int_regs,big_core_num_fp_regs,small_core_width,small_core_rob_size,small_core_num_int_regs,small_core_num_fp_regs,big_core_num,small_core_num,matsize
74,0.002153,8497589,0.048579,0.28019825,0.999023,0.0172913333333333,0.267733125,0.9992322500000002,0.00535525,LRURP,ISB,4,1,4,10,40,50,50,2,30,40,40,2,2,64
75,0.002956,8859631,0.038739,0.274350125,0.345749125,0.016594,0.266792875,0.99642225,0.16811175,LRURP,ISB,4,2,1,10,40,50,50,2,30,40,40,2,2,64
76,0.002306,8536474,0.0460877142857142,0.274662375,0.363944375,0.01363425,0.2674014999999999,0.996868625,0.0388242499999999,LRURP,ISB,4,2,2,10,40,50,50,2,30,40,40,2,2,64
77,0.002122,8511352,0.0433745714285714,0.2746245,0.362376875,0.0159445,0.267101625,0.996874125,0.00784825,LRURP,ISB,4,2,4,10,40,50,50,2,30,40,40,2,2,64
78,0.001787,7760177,0.0504547142857142,0.275717375,0.0055655,0.0159445,0.26483175,0.280714125,0.0955315,LRURP,ISB,4,4,1,10,40,50,50,2,30,40,40,2,2,64
79,0.001606,7771500,0.059894,0.27561975,0.0055481249999999,0.0225318,0.26458125,0.2808621249999999,0.05039025,LRURP,ISB,4,4,2,10,40,50,50,2,30,40,40,2,2,64
80,0.00157,7723017,0.0585954999999999,0.2757088749999999,0.005592,0.012081375,0.265094875,0.281540125,0.0358592499999999,LRURP,ISB,4,4,4,10,40,50,50,2,30,40,40,2,2,64
81,0.019383,9411985,0.1379137499999999,0.7973349999999999,0.716746125,0.04675925,0.7522372500000001,0.562236875,0.9581365,LFURP,Tagged,1,1,1,10,40,50,50,2,30,40,40,2,2,64
82,0.019334,9473453,0.130690375,0.7891862500000001,0.7116984999999999,0.04687275,0.7537182499999999,0.561350375,0.926595,LFURP,Tagged,1,1,2,10,40,50,50,2,30,40,40,2,2,64
83,0.011909,9361450,0.11046975,0.83481775,0.7179201250000001,0.044953625,0.7440938749999999,0.6462165000000001,0.3136525,LFURP,Tagged,1,1,4,10,40,50,50,2,30,40,40,2,2,64
84,0.018173,9493712,0.12212175,0.8035488749999999,0.65124775,0.0471082499999999,0.750895,0.514910875,0.9482045,LFURP,Tagged,1,2,1,10,40,50,50,2,30,40,40,2,2,64
85,0.01828,9494459,0.12203575,0.80081825,0.655180125,0.044063125,0.7518675,0.511611125,0.94952625,LFURP,Tagged,1,2,2,10,40,50,50,2,30,40,40,2,2,64
86,0.010637,9425464,0.122509125,0.8324864999999999,0.6307488750000001,0.046236375,0.7460606249999999,0.5979725,0.33107625,LFURP,Tagged,1,2,4,10,40,50,50,2,30,40,40,2,2,64
87,0.018058,9483864,0.1348825,0.842316875,0.4832125,0.0468492499999999,0.7509996250000001,0.47363325,0.9127925,LFURP,Tagged,1,4,1,10,40,50,50,2,30,40,40,2,2,64
88,0.016868,9474496,0.1382305,0.8510745,0.485438375,0.046350125,0.750861625,0.492043375,0.813623,LFURP,Tagged,1,4,2,10,40,50,50,2,30,40,40,2,2,64
89,0.007185,9292486,0.1221854999999999,0.837342375,0.5824628749999999,0.042178875,0.733631375,0.566399125,0.16412075,LFURP,Tagged,1,4,4,10,40,50,50,2,30,40,40,2,2,64
90,0.023286,9483431,0.117803375,0.7520745,0.765961375,0.0370438333333333,0.691072,0.6815282500000001,0.9708085,LFURP,Tagged,2,1,1,10,40,50,50,2,30,40,40,2,2,64
91,0.022921,9491881,0.10332025,0.7518664999999999,0.7702415000000001,0.039972,0.6923852500000001,0.6823047499999999,0.9328015,LFURP,Tagged,2,1,2,10,40,50,50,2,30,40,40,2,2,64
92,0.012588,9424905,0.1042603749999999,0.77649025,0.82277025,0.0466121666666666,0.691439375,0.74712475,0.29806625,LFURP,Tagged,2,1,4,10,40,50,50,2,30,40,40,2,2,64
93,0.020682,9470201,0.112891125,0.7297433749999999,0.6357618749999999,0.050545,0.69214825,0.5963202499999999,0.963053,LFURP,Tagged,2,2,1,10,40,50,50,2,30,40,40,2,2,64
94,0.021079,9506370,0.1043386249999999,0.7292069999999999,0.63254925,0.0419272857142857,0.6936986249999999,0.5946652499999999,0.956845,LFURP,Tagged,2,2,2,10,40,50,50,2,30,40,40,2,2,64
95,0.010579,9422895,0.103527625,0.7555335000000001,0.6813049999999999,0.035691875,0.6926585000000001,0.6782128749999999,0.2734805,LFURP,Tagged,2,2,4,10,40,50,50,2,30,40,40,2,2,64
96,0.01944,9488955,0.1118962499999999,0.74798775,0.51821625,0.032611,0.6967111250000001,0.520068375,0.93007375,LFURP,Tagged,2,4,1,10,40,50,50,2,30,40,40,2,2,64
97,0.018437,9487528,0.1038801249999999,0.750508125,0.51885725,0.042046,0.6969747500000001,0.5409725000000001,0.8277975,LFURP,Tagged,2,4,2,10,40,50,50,2,30,40,40,2,2,64
98,0.005793,9264287,0.10908175,0.759509125,0.569267375,0.0427816666666666,0.698518625,0.590401375,0.10010575,LFURP,Tagged,2,4,4,10,40,50,50,2,30,40,40,2,2,64
99,0.032727,9512149,0.0955465,0.7247757499999999,0.919413875,0.0449396666666666,0.52670725,0.9256995,0.976388,LFURP,Tagged,4,1,1,10,40,50,50,2,30,40,40,2,2,64
100,0.031751,9519493,0.0970236249999999,0.73528375,0.93277075,0.0523741999999999,0.526920875,0.919742,0.93780775,LFURP,Tagged,4,1,2,10,40,50,50,2,30,40,40,2,2,64
101,0.013646,9423279,0.094576625,0.752016375,0.942138375,0.0496932,0.54943025,0.922554,0.30592175,LFURP,Tagged,4,1,4,10,40,50,50,2,30,40,40,2,2,64
102,0.028348,9512668,0.100775,0.6708589999999999,0.7635092499999999,0.0472988,0.52487875,0.8293703749999999,0.9743485,LFURP,Tagged,4,2,1,10,40,50,50,2,30,40,40,2,2,64
103,0.027576,9515078,0.100178625,0.6695338750000001,0.771784,0.0431325,0.52470125,0.8297835,0.94446175,LFURP,Tagged,4,2,2,10,40,50,50,2,30,40,40,2,2,64
104,0.015687,9417976,0.0923636249999999,0.696679875,0.7745807499999999,0.0507644,0.5421524999999999,0.8827874999999998,0.40010575,LFURP,Tagged,4,2,4,10,40,50,50,2,30,40,40,2,2,64
105,0.025879,9519586,0.0971341249999999,0.662533125,0.60209,0.038416,0.528800375,0.7504152500000001,0.96003125,LFURP,Tagged,4,4,1,10,40,50,50,2,30,40,40,2,2,64
106,0.024246,9491624,0.098338625,0.6642395000000001,0.603253125,0.0394106666666666,0.5336650000000001,0.751873125,0.88985225,LFURP,Tagged,4,4,2,10,40,50,50,2,30,40,40,2,2,64
107,0.015311,9336831,0.089885125,0.6673313750000001,0.6243765,0.0380442857142857,0.5369633750000001,0.779625,0.43632175,LFURP,Tagged,4,4,4,10,40,50,50,2,30,40,40,2,2,64
108,0.008306,9355616,0.108026625,0.6796703749999999,0.602244,0.035713875,0.5849469999999999,0.5782525,0.7585235,LFURP,Stride,1,1,1,10,40,50,50,2,30,40,40,2,2,64
109,0.007475,9281907,0.118940375,0.6916473749999998,0.610522625,0.039167625,0.576942875,0.5833843750000001,0.6002857500000001,LFURP,Stride,1,1,2,10,40,50,50,2,30,40,40,2,2,64
110,0.004662,8968728,0.125071625,0.687049375,0.62365025,0.043707375,0.6106077500000001,0.5731685,0.16983425,LFURP,Stride,1,1,4,10,40,50,50,2,30,40,40,2,2,64
111,0.00772,9338721,0.1121149999999999,0.6701630000000001,0.470614375,0.0437866249999999,0.5910265000000001,0.388331875,0.7384200000000001,LFURP,Stride,1,2,1,10,40,50,50,2,30,40,40,2,2,64
112,0.005772,9335372,0.102323875,0.67327625,0.4734188750000001,0.0333969999999999,0.5909368750000001,0.39305975,0.5263045,LFURP,Stride,1,2,2,10,40,50,50,2,30,40,40,2,2,64
113,0.002583,9090021,0.1164505,0.682967125,0.4808690000000001,0.04330775,0.603335125,0.3916783749999999,0.06603275,LFURP,Stride,1,2,4,10,40,50,50,2,30,40,40,2,2,64
114,0.00576,9344345,0.103890875,0.6577,0.358256875,0.043697625,0.580802125,0.269061625,0.78985925,LFURP,Stride,1,4,1,10,40,50,50,2,30,40,40,2,2,64
115,0.005212,9340712,0.11031,0.6665878749999999,0.35540475,0.0440506249999999,0.5832700000000001,0.24640475,0.6792345,LFURP,Stride,1,4,2,10,40,50,50,2,30,40,40,2,2,64
116,0.003357,8751732,0.115813625,0.695408875,0.3571248749999999,0.044132875,0.60051725,0.25169675,0.10651775,LFURP,Stride,1,4,4,10,40,50,50,2,30,40,40,2,2,64
117,0.008533,9206792,0.0845381249999999,0.626986375,0.581628625,0.0363106666666666,0.544399125,0.643917625,0.732371,LFURP,Stride,2,1,1,10,40,50,50,2,30,40,40,2,2,64
118,0.006633,9204985,0.08510775,0.650403375,0.590308375,0.03529625,0.540906,0.6623198749999999,0.45689725,LFURP,Stride,2,1,2,10,40,50,50,2,30,40,40,2,2,64
119,0.003206,8474461,0.099814875,0.66517525,0.5716015,0.0349193749999999,0.547295,0.665532375,0.0466905,LFURP,Stride,2,1,4,10,40,50,50,2,30,40,40,2,2,64
120,0.008312,9260523,0.0961525,0.626642375,0.43286825,0.03564025,0.5432985,0.483750625,0.72355,LFURP,Stride,2,2,1,10,40,50,50,2,30,40,40,2,2,64
121,0.005303,9264417,0.0953407499999999,0.629507625,0.43628825,0.0353742499999999,0.5406448749999999,0.496038625,0.4215315,LFURP,Stride,2,2,2,10,40,50,50,2,30,40,40,2,2,64
122,0.002941,8457067,0.1136325,0.664204625,0.4472836249999999,0.035069875,0.544621125,0.491515625,0.0609415,LFURP,Stride,2,2,4,10,40,50,50,2,30,40,40,2,2,64
123,0.00537,9239780,0.0982015,0.6185493750000001,0.261698375,0.035092625,0.51343575,0.2787902499999999,0.7821345,LFURP,Stride,2,4,1,10,40,50,50,2,30,40,40,2,2,64
124,0.004826,9208102,0.097665625,0.626399375,0.262766625,0.0329565,0.5124565,0.27435575,0.64974725,LFURP,Stride,2,4,2,10,40,50,50,2,30,40,40,2,2,64
125,0.003223,8285818,0.105700875,0.6471480000000001,0.2431399999999999,0.034985375,0.520381875,0.273969875,0.1418385,LFURP,Stride,2,4,4,10,40,50,50,2,30,40,40,2,2,64
126,0.008221,9304658,0.064912375,0.441061,0.7807888749999999,0.0399033333333333,0.4156259999999999,0.8174171249999999,0.71511575,LFURP,Stride,4,1,1,10,40,50,50,2,30,40,40,2,2,64
127,0.005531,9288583,0.07529125,0.455416375,0.7835417499999999,0.02358075,0.399380375,0.8573742500000001,0.421955,LFURP,Stride,4,1,2,10,40,50,50,2,30,40,40,2,2,64
128,0.003751,8590227,0.077325125,0.44914925,0.769149625,0.0472963999999999,0.404370625,0.870739625,0.0939025,LFURP,Stride,4,1,4,10,40,50,50,2,30,40,40,2,2,64
129,0.006919,9306330,0.074559,0.422751,0.588032,0.0389626666666666,0.405528375,0.6805976250000001,0.685896,LFURP,Stride,4,2,1,10,40,50,50,2,30,40,40,2,2,64
130,0.004849,9312721,0.066216625,0.427369375,0.5995085000000001,0.0387106666666666,0.397103125,0.698684625,0.39928075,LFURP,Stride,4,2,2,10,40,50,50,2,30,40,40,2,2,64
131,0.00404,8762426,0.0940178571428571,0.428436875,0.631289125,0.0294068749999999,0.39543625,0.6904621249999999,0.19005575,LFURP,Stride,4,2,4,10,40,50,50,2,30,40,40,2,2,64
